# ratedPower, rotorDiameter, ratedQ, blade_mass, Vrated, I1, I2, I3, ratedT, extremeT
8.800000000000000000e+02 8.600000000000000000e+01 5.244829268587398110e+05 5.482442029053441729e+03 8.390804741980252501e+00 6.278412238147966564e+06 3.019127654701914173e+06 2.481370336085131858e+06 1.927737275346169190e+05 6.548817724134202581e+04
8.800000000000000000e+02 8.800000000000000000e+01 5.453243890698073665e+05 5.806524240747350632e+03 8.263219300932910016e+00 6.929139193414374255e+06 3.332045582321831025e+06 2.738552327716406435e+06 1.955245778051172092e+05 6.887868115408883023e+04
8.800000000000000000e+02 9.000000000000000000e+01 5.640430503175976919e+05 6.100448872937503438e+03 8.140355824795111772e+00 7.575671344812217169e+06 3.642946336190607399e+06 2.994076438104727771e+06 1.981539362852298364e+05 7.203746128437244624e+04
8.800000000000000000e+02 9.200000000000000000e+01 5.828622334647880634e+05 6.377991807158985466e+03 8.021911686022253463e+00 8.242955313725877553e+06 3.963826107647086959e+06 3.257802135526587255e+06 2.006036785828142310e+05 7.504743711122890818e+04
8.800000000000000000e+02 9.400000000000000000e+01 6.033234331419521477e+05 6.709716694216571341e+03 7.907717825541370260e+00 9.009404814161257818e+06 4.332392043575422838e+06 3.560720291000977159e+06 2.031976435551860486e+05 7.850358861656027148e+04
8.800000000000000000e+02 9.600000000000000000e+01 6.249252171528056497e+05 7.107958943932408147e+03 7.797495233433118678e+00 9.870714844967339188e+06 4.746573979173502885e+06 3.901129470829734579e+06 2.059990720837382250e+05 8.265872858456129325e+04
8.800000000000000000e+02 9.800000000000000000e+01 6.481465803668482695e+05 7.583271352264193411e+03 7.691048329308467046e+00 1.085912736060179025e+07 5.221876244621070102e+06 4.291772423710142262e+06 2.090212966806641489e+05 8.752271166183160676e+04
8.800000000000000000e+02 1.000000000000000000e+02 6.736293556062765419e+05 8.155605491140568120e+03 7.588150827789139186e+00 1.199890729169676080e+07 5.769967223632372916e+06 4.742239198335073888e+06 2.121502608520156937e+05 9.328429035356199893e+04
8.800000000000000000e+02 1.020000000000000000e+02 7.010748376997952582e+05 8.857666575989820558e+03 7.488631323772393600e+00 1.332995279168814793e+07 6.410032916399938054e+06 5.268298446179639548e+06 2.155545339531760546e+05 1.002488488918932126e+05
8.800000000000000000e+02 1.040000000000000000e+02 7.302387082225914346e+05 9.752948081633807305e+03 7.392344075238081125e+00 1.491091236629517749e+07 7.170275887331366539e+06 5.893129381482616067e+06 2.192945131013573264e+05 1.090002430355002871e+05
8.800000000000000000e+02 1.060000000000000000e+02 7.657035314528432209e+05 1.101587326372327334e+04 7.299033865687190037e+00 1.694692161012746021e+07 8.149340590335965157e+06 6.697806224927804433e+06 2.234360252645647270e+05 1.210963587486100878e+05
8.800000000000000000e+02 1.080000000000000000e+02 8.157473189940777374e+05 1.367952892677076125e+04 7.208944925804639858e+00 2.028452170429300144e+07 9.754306999423393980e+06 8.016901173337934539e+06 2.290711329349499720e+05 1.462149147024026606e+05
8.800000000000000000e+02 1.100000000000000000e+02 7.076328838316982146e+05 7.475160732364361138e+03 7.121000273015161142e+00 1.246546954654562473e+07 5.994325063293727115e+06 4.926635140367142856e+06 2.326434978533146204e+05 8.482589648861257592e+04
1.070000000000000000e+03 5.200000000000000000e+01 3.163272030783072696e+05 2.199444360903008601e+03 1.252471431541360580e+01 1.005674234823499341e+06 4.836029841316158418e+05 3.974651742193123791e+05 1.635692471855115436e+05 2.904995239726838190e+04
1.070000000000000000e+03 5.400000000000000000e+01 3.376605700783234206e+05 2.258533446021987402e+03 1.221357282638228980e+01 1.111220311496294104e+06 5.343573893603686010e+05 4.391793678421407822e+05 1.628296607744371577e+05 3.004185572920376944e+04
1.070000000000000000e+03 5.600000000000000000e+01 3.585004948377509136e+05 2.355064550722071090e+03 1.192095351239453116e+01 1.239506760546555743e+06 5.960470572827485157e+05 4.898810702981931390e+05 1.631544779177887540e+05 3.136884974590643469e+04
1.070000000000000000e+03 5.800000000000000000e+01 3.776417611859161407e+05 2.463469754104477943e+03 1.164534453419364546e+01 1.384435593720339937e+06 6.657396215173844248e+05 5.471602188854387496e+05 1.644763048564380442e+05 3.276570927219127771e+04
1.070000000000000000e+03 6.000000000000000000e+01 3.956966846321042976e+05 2.580548749123257039e+03 1.138506593940313039e+01 1.545239873252116377e+06 7.430662813341687433e+05 6.107137024750087876e+05 1.663958980693972262e+05 3.422114922475774074e+04
1.070000000000000000e+03 6.200000000000000000e+01 4.123645073154763086e+05 2.705134923607306973e+03 1.113891304700973528e+01 1.720373777991433861e+06 8.272836909304487053e+05 6.799305776305486215e+05 1.688216591089575668e+05 3.576282027864787960e+04
1.070000000000000000e+03 6.400000000000000000e+01 4.281257218776819645e+05 2.837192141660699690e+03 1.090564670940823255e+01 1.912134707900662906e+06 9.194966111115374370e+05 7.557188287118799053e+05 1.716189657676469360e+05 3.736794341589575197e+04
1.070000000000000000e+03 6.600000000000000000e+01 4.435911010340831126e+05 2.976857339443115961e+03 1.068421090426228659e+01 2.124409527259814087e+06 1.021574135366796749e+06 8.396146322806823300e+05 1.746750293938231189e+05 3.900143323578734271e+04
1.070000000000000000e+03 6.800000000000000000e+01 4.568037733362428262e+05 3.122294405294929675e+03 1.047406091650432280e+01 2.348255741469177417e+06 1.129216047061205376e+06 9.280837124741040170e+05 1.781668510703176144e+05 4.076916678654943826e+04
1.070000000000000000e+03 7.000000000000000000e+01 4.717187483130478067e+05 3.280960263649295030e+03 1.027317333950677636e+01 2.607334406259853859e+06 1.253800341934380587e+06 1.030477452983530122e+06 1.816681572745672602e+05 4.250887873711348220e+04
1.070000000000000000e+03 7.200000000000000000e+01 4.841185013579155202e+05 3.443663318700412674e+03 1.008240169747440262e+01 2.878579111687807366e+06 1.384234974176779855e+06 1.137679487564746989e+06 1.855820539234987518e+05 4.437271475776474836e+04
1.070000000000000000e+03 7.400000000000000000e+01 4.967460992531388183e+05 3.618567503441353438e+03 9.900001689712368602e+00 3.181343306544951629e+06 1.529826521669112612e+06 1.257338736344631063e+06 1.896321052547881845e+05 4.628668302422203124e+04
1.070000000000000000e+03 7.600000000000000000e+01 5.091082115334754344e+05 3.808769822657489840e+03 9.725111361099957108e+00 3.518736420928697567e+06 1.692070229712478351e+06 1.390684116334869526e+06 1.939106012744954205e+05 4.829803647298060241e+04
1.070000000000000000e+03 7.800000000000000000e+01 5.192512006876122323e+05 3.980748678797171124e+03 9.558079453474119802e+00 3.822269726996484678e+06 1.838031623089011759e+06 1.510647335238226224e+06 1.904593821133897000e+05 5.078430720547824603e+04
1.070000000000000000e+03 8.000000000000000000e+01 5.299996935655479319e+05 4.231473361080532413e+03 9.398558874059268931e+00 4.292175547670990229e+06 2.063997297926937696e+06 1.696364730010540690e+06 2.036218846217872633e+05 5.278768038565963070e+04
1.070000000000000000e+03 8.200000000000000000e+01 5.382407295018634759e+05 4.516820183273667681e+03 9.244768737383100898e+00 4.791115465272676200e+06 2.303924726411675103e+06 1.893557055723576574e+06 2.108932628394748026e+05 5.588908875783402618e+04
1.070000000000000000e+03 8.400000000000000000e+01 5.619385009620224591e+05 4.856849253318309820e+03 9.097451882537635370e+00 5.366888455993192270e+06 2.580799212058307137e+06 2.121115547472814564e+06 2.146110808651932457e+05 5.949166722426507476e+04
1.070000000000000000e+03 8.600000000000000000e+01 5.868325293074846268e+05 5.217601581057060685e+03 8.955793666845863754e+00 6.001321598878737539e+06 2.885881862590063363e+06 2.371857856399288401e+06 2.181852162836381758e+05 6.325138627371993061e+04
1.070000000000000000e+03 8.800000000000000000e+01 6.123429691962694051e+05 5.593158322553696962e+03 8.819577729675149413e+00 6.692721988211321644e+06 3.218358603002609685e+06 2.645114907923141029e+06 2.216896892727751692e+05 6.711117940718543832e+04
1.070000000000000000e+03 9.000000000000000000e+01 6.374107786236996762e+05 5.975532370676181927e+03 8.688539592571691728e+00 7.431737388095929287e+06 3.573732182565517724e+06 2.937190487166196574e+06 2.251738158707301482e+05 7.101347133264869626e+04
1.070000000000000000e+03 9.200000000000000000e+01 6.631009480343357427e+05 6.353422471520780164e+03 8.562431842471507792e+00 8.219686104019343853e+06 3.952636540625476744e+06 3.248605618235303089e+06 2.285441886561510910e+05 7.483088244593791023e+04
